"ID","Started on","Last updated on","Status","Collector","Language","IP address","Device","{_bhlid}","{trk}","Do you work in a safety-critical industry? (Automotive, aerospace, medical, robotics, etc)","What industry do you work in?","Automotive","Aerospace","Medical","Industrial","Robotics","Defense","Nuclear","Rail","Other","What is the size of the company that you work for?","Approximately how many people actively write Rust at your company?","What is your primary role or responsibility related to software development or safety within your organization?","Software Engineer","Safety Engineer","Quality Assurance Engineer","Cybersecurity Engineer","DevOps/Tooling Engineer","Project Manager","R&D Engineer","Engineering Management","Startup Owner/Founder","C-suite (CEO, CTO, etc)","Other","Can you elaborate on your role?","What language(s) do you use in your safety critical role?","Rust","C","C++","Ada/Spark","Python","Other","Do you currently use Rust?","Yes, in my safety critical role","Yes, in non-safety critical production","Yes, as a hobby/in my free time","No","Would you be interested in using Rust in your safety-critical role?","What were your/your company's primary reasons to switch to Rust?","Memory safety","Speed/performance","Tooling (cargo, crates.io, clippy, etc)","Language features (type system, matching, zero cost abstractions, etc)","Specific library/crate/framework","Hiring advantages (interest in Rust/quality of Rust engineers)","Regulatory requirement","Cybersecurity advantages","Other","What are some of the advantages to Rust in your role?","What are the primary blockers or disadvantages to using Rust in your safety critical role?","Lack of tooling","Standards","Hiring engineers","Hardware support","Ecosystem (libraries, drivers, etc)","Lack of qualified tooling","Regulatory hurdles","Legacy codebase","Training","Other","How do you or would you be interested in using Rust in your safety-critical role?","Starting a new project in Rust","Rewriting an existing project in Rust","Integrating Rust with an existing codebase","Integrating Rust components into an existing system","Using C/C++ Interoperability Layer","Other","What are the primary disadvantages to using Rust in your safety-critical role?","Doesn't offer any/enough advantage over existing languages","Too difficult to learn","Doesn't support my hardware target(s)","Not certifiable","Not enough hirable Rust engineers","Doesn't integrate with existing codebase","Doesn't integrate with existing process/tooling/build system","Software supply chain concern (open-source)","Don't know enough about it","Other","Can you elaborate on the downsides to Rust for your role?","What types of safety critical code tools does your work require?","Certified compiler","Formal verification","Code coverage analysis","Code-requirements traceability","Static analysis","Source code metrics (cyclomatic complexity, lines of code, etc)","Linting tools (naming contenvtions, style guides, etc)","Automated testing (fuzz, prop-based, etc)","Post compilation analysis (worst case execution time, stack size, etc)","Other","Are there ""best-in-class"" libraries or solutions in another language which have features lacking within the Rust ecosystem for your use cases?","Are there any libraries that are not written in Rust that you would like to use in the Rust ecosystem?","Are there any crates in the Rust ecosystem that you would use in safety-critical software if it were certified?","What standard(s) do you work with in your safety critical work?","ISO-26262","DO-178","IEC-61508","IEC-62304","Other","What levels of ISO-26262 do you work with?","QM","ASIL-A","ASIL-B","ASIL-C","ASIL-D","What levels of IEC-61508 do you work with?","SIL-1","SIL-2","SIL-3","SIL-4","What levels of DO-178 do you work with?","DAL A","DAL B","DAL C","DAL D","DAL E","What levels of IEC-62304 do you work with?","Class A","Class B","Class C","What coding guidelines do you work with in your safety critical work?","MISRA (C)","AEC","AUTOSAR (C++)","JSF AV (C++)","CERT (C, C++, Java)","HIC++","CWE","Other","To what environments do you deploy your safety critical code?","Cloud","WebAssembly","Native applications","Embedded Linux","Embedded with a hypervisor (RTOS, event-driven architecture, etc)","Bare metal embedded","Other","What chip architectures do you work with?","ARM Cortex (R or M)","ARM Cortex (A)","Infineon Tricore","x86-x64","PowerPC","Renesas","RISC-V","Other","What kind of support or resources from the Rust community or the Safety-Critical Rust Consortium would be most helpful in enabling Rust adoption in your industry?","What steps would your organization need to take to seriously consider or adopt Rust for safety-critical projects?"
"117925754","05/09/2025 8:10:37 am","05/09/2025 8:27:04 am","Completed","Public Collector","-","-","Mobile","","","Yes","","","x","","","","x","","","","1000 - 10,000","< 10","","x","","","","","","","","","","","","","","","","x","","","","","x","x","","Yes, I already am","","x","x","","x","","","","","","","","","","","x","x","x","","","","","","x","","","","","","","","","","","","","","","","","","","x","x","","x","","","","x","","","Green hills Ada compiler for powerpc - 32bit
LDRA toolsuite for testing","","cc, rayon, tokio","","","x","","","","","","","","","","","","","","","","x","","","","","","","","","","x","","","","","","","","","","","","","","x","","","","","","","x","","","","Hardware support.
Documentation should be more elaborate on how to compile to baremetal system and work with assembly code.
Some Math Library that precision level we can select e.g. sqrt how many levels of precision we want that also to be covered.
All popular hardware should cover for baremetal compilation.","Certified compiler, bare metal compilation."
"117902438","05/09/2025 5:11:23 am","05/09/2025 5:25:18 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","","","","","x","","","","> 10,000","20 - 49","","x","","","","","","","","","","","Working on a huge EU military aviation project","","x","","x","","","","","","x","","","Yes, but not I'm not yet using it","","","x","","","","","","","","","","","","","","","x","","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","","","x","","","","","x","x","","","","","","","We really need a certified Rust compiler for DO-178 DAL-D / DAL-C  ASAP! This issue is currently the most critical one so Rust adoption can be performed in our company. If this does not happen in a foreseeable time I assume Rust is dead at our company.","We really need a certified Rust compiler for DO-178 DAL-D / DAL-C  ASAP! This issue is currently the most critical one so Rust adoption can be performed in our company. If this does not happen in a foreseeable time I assume Rust is dead at our company."
"117839290","05/08/2025 6:27:15 pm","05/08/2025 6:28:36 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","No","","","","","","","","","","Revenue Management","1000 - 10,000","< 10","","","","","","","","","","","","Software Architect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117752339","05/07/2025 4:59:14 pm","05/07/2025 5:08:29 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","< 10","< 10","","x","","","","","","","","","","","","","","x","x","","","","","","x","x","","Yes, but not I'm not yet using it","","x","","","x","","","","","","","","","","","","x","","x","x","","","","x","x","x","x","","","","","","","","","","","","","","","","x","","x","x","x","x","x","","","","","","","","x","","","","","","x","x","x","","","","","","","","","","","","","","","","","","","x","","x","","","","","","","","","","x","x","","","","x","","x","","","","x","","",""
"117715167","05/07/2025 6:56:31 am","05/08/2025 7:37:07 am","Completed","Public Collector","-","-","Desktop","","","Yes","","x","","","","","","","","","1000 - 10,000","20 - 49","","x","x","","","","","x","x","","","","","","x","x","x","","","","","x","x","","","Yes, I already am","","x","x","x","x","x","x","x","x","","Mostly for safety, tools around it. Simplicity of code compared to C++","","x","x","","","x","x","","","","","","x","x","x","x","x","","","","","","","","","","","","","","","x","x","x","x","x","x","x","x","x","","Tools exist, the certified tools are the problem, for example, Rust compilers","","Async libs, No std crates","","x","x","","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","x","","x","","","","","","","x","x","x","x","x","x","","","x","x","","x","","","x","","Mainly safety standards to qualify the Rust code to ASIL standards","Get the process in place and the get the certified compilers and tools to certify the Rust code"
"117690807","05/06/2025 9:19:54 pm","05/06/2025 9:23:27 pm","Completed","Public Collector","-","-","Mobile","","","No","","","","","","","","","","Cloud","> 10,000","> 200
","","x","","","x","","","","","","","Architect","","","x","x","x","","","","","x","x","","","Yes, I already am","","x","x","x","x","","","","x","","","","","","","","","","","x","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","x","","x","","","","x","","x","","","","","",""
"117686875","05/06/2025 5:24:26 pm","05/06/2025 5:25:20 pm","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","","","","x","","","","","50 - 249","< 10","","x","","","","","","","","","","","","","x","","","x","","","","","x","","","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117650676","05/06/2025 6:23:56 am","05/06/2025 6:25:14 am","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","","x","","","","","","","50 - 249","< 10","","","","","","","","","","","x","","","","","","","","","Go","","","","","x","Yes, but not I'm not yet using it","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117639189","05/06/2025 3:36:11 am","05/06/2025 3:38:49 am","Completed","Public Collector","-","-","Desktop","","","Yes","","","x","","","","","","","","> 10,000","< 10","","x","","","","","","","x","","","","","","","","","x","","","","","","","x","Yes, but not I'm not yet using it","","x","","","x","","","x","","","","","x","x","x","","x","x","x","","x","","","x","","","","x","","","","","","","","","","","","","","","x","x","","x","","x","","","","","","","","","","x","","","","","","","","","","","","","","","","x","x","x","x","x","","","","","","x","","","","","","x","","","","","x","","x","","","","","","","x","x","","","","",""
"117636194","05/06/2025 2:49:45 am","05/06/2025 2:50:56 am","Started, but not completed yet","Public Collector","-","-","Mobile","","","Yes","","","x","","","","","","","","1000 - 10,000","< 10","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117632619","05/06/2025 1:13:42 am","05/06/2025 1:18:20 am","Completed","Public Collector","-","-","Mobile","","","No","","","","","","","","","","Software company","< 10","< 10","","x","","","","","","","","","","","","","x","","x","","","","","","x","","","Yes, but not I'm not yet using it","","x","","x","","","","","","","","","","","","x","x","","x","","","","","x","","x","","","","","","","","","","","","","","","","","x","","","","","x","","","","","","","","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","","x","","x","x","","","","","x","","","x","","","","","",""
"117626141","05/05/2025 5:39:23 pm","05/05/2025 5:40:21 pm","Started, but not completed yet","Public Collector","-","-","Desktop","","","Yes","","","","","","","","","x","","< 10","< 10","","","","","","","","","","x","","","","","x","","","","","","","x","","","","Not Sure Yet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"117624163","05/05/2025 4:28:19 pm","05/05/2025 4:41:05 pm","Completed","Public Collector","-","-","Desktop","","","Yes","","","x","","","","","","","","> 10,000","50 - 200","","","","","","","","x","","","","","Chief Software Architect","","x","x","x","","","","","x","","","","Yes, I already am","","x","x","","x","","","","x","","","","x","","","","x","","","","","","","x","x","x","x","x","","","","","","","","","","","","","","","x","x","x","x","x","x","x","x","x","","","","Certified WASM Runtime","","","x","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","x","","x","","","","","","","","x","x","x","x","","","","x","x","","","","","x","","",""
