"Do you work in a safety-critical industry? (Automotive, aerospace, medical, robotics, etc) (n = 202)","Answer","Count","%","Value"
"","Yes","186","92.08","1"
"","No","16","7.92","2"
"","","","",""
"","Average","","","1.08"
"","Standard Deviation","","","0.27"
"","","","",""
"What industry do you work in? (n = 202)","Answer","Count","%",""
"","Automotive","83","41.09",""
"","Aerospace","59","29.21",""
"","Medical","24","11.88",""
"","Industrial","30","14.85",""
"","Robotics","29","14.36",""
"","Defense","34","16.83",""
"","Nuclear","2","0.99",""
"","Rail","8","3.96",""
"","Other","21","10.4",""
"","","","",""
"What is the size of the company that you work for? (n = 199)","Answer","Count","%","Value"
"","< 10","22","11.06","1"
"","10 - 49","30","15.08","2"
"","50 - 249","30","15.08","3"
"","250 - 1000","24","12.06","4"
"","1000 - 10,000","46","23.12","5"
"","> 10,000","47","23.62","6"
"","","","",""
"","Average","","","3.92"
"","Standard Deviation","","","1.71"
"","","","",""
"Approximately how many people actively write Rust at your company? (n = 196)","Answer","Count","%","Value"
"","< 10","127","64.8","1"
"","10 - 19","23","11.73","2"
"","20 - 49","26","13.27","3"
"","50 - 200","14","7.14","4"
"","> 200
","6","3.06","5"
"","","","",""
"","Average","","","1.72"
"","Standard Deviation","","","1.12"
"","","","",""
"What is your primary role or responsibility related to software development or safety within your organization? (n = 201)","Answer","Count","%",""
"","Software Engineer","157","78.11",""
"","Safety Engineer","15","7.46",""
"","Quality Assurance Engineer","5","2.49",""
"","Cybersecurity Engineer","12","5.97",""
"","DevOps/Tooling Engineer","15","7.46",""
"","Project Manager","11","5.47",""
"","R&D Engineer","39","19.4",""
"","Engineering Management","28","13.93",""
"","Startup Owner/Founder","13","6.47",""
"","C-suite (CEO, CTO, etc)","6","2.99",""
"","Other","12","5.97",""
"","","","",""
"What language(s) do you use in your safety critical role? (n = 185)","Answer","Count","%",""
"","Rust","71","38.38",""
"","C","113","61.08",""
"","C++","89","48.11",""
"","Ada/Spark","14","7.57",""
"","Python","36","19.46",""
"","Other","10","5.41",""
"","","","",""
"Do you currently use Rust? (n = 185)","Answer","Count","%",""
"","Yes, in my safety critical role","52","28.11",""
"","Yes, in non-safety critical production","59","31.89",""
"","Yes, as a hobby/in my free time","97","52.43",""
"","No","50","27.03",""
"","","","",""
"Would you be interested in using Rust in your safety-critical role? (n = 185)","Answer","Count","%","Value"
"","Yes, I already am","69","37.3","1"
